cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	caa_denom	caa_level1_num	caa_level1_pct	caa_level2_num	caa_level2_pct	caa_level3_num	caa_level3_pct	ReportingYear	X26
25	D	NA	district_2	county_2	NA	NA	AA	91	18.3	84	16.7	1.5	4	3	4	80	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	AI	16	47.2	20	50.3	-3.1	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	ALL	12039	80.2	12234	81.9	-1.8	5	3	5	30	98	47	48	37	37.8	14	14.3	2017f	NA
25	D	NA	district_2	county_2	NA	NA	AS	9003	91.7	9131	94.1	-2.4	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	EL	2215	25	2235	27	-1.9	4	3	4	80	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	ELO	596	-59.3	787	-33.5	-25.8	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	EO	4762	79.7	4819	81.8	-2.1	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	FI	100	39.5	118	53.7	-14.2	4	2	4	70	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	FOS	10	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	HI	578	-18.3	581	-14.5	-3.8	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	HOM	6	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	MR	369	63.5	283	64.8	-1.3	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	PI	16	37.7	18	31.7	6	4	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	RFP	1619	56.1	1448	59.8	-3.8	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	SED	584	-17.9	548	-11.1	-6.7	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	SWD	962	-14.1	837	-4.4	-9.7	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
25	D	NA	district_2	county_2	NA	NA	WH	1839	64.4	1984	62.2	2.2	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	AA	5	NA	5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	AI	3	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	ALL	1248	90.3	1181	94.5	-4.2	5	2	4	20	16	9	56.3	4	25	3	18.8	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	AS	1089	93.8	1017	98.7	-4.9	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	EL	145	9.7	126	19.5	-9.9	3	2	3	120	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	ELO	60	-49.5	52	-39.7	-9.8	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	EO	432	95.5	410	99.1	-3.6	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	FI	11	48.2	13	39.9	8.3	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	FOS	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	HI	26	11.7	24	44.8	-33.1	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	HOM	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	MR	16	66.6	13	83.4	-16.8	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	PI	1	NA	2	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	RFP	85	51.5	74	61.2	-9.7	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	SED	38	37.6	28	51.1	-13.6	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	SWD	66	-9.1	74	7.9	-17	2	1	2	160	NA	NA	NA	NA	NA	NA	NA	2017f	NA
36	S	school_33	district_2	county_2	NA	NA	WH	96	82.7	103	77.7	5	5	4	5	40	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	AA	1	NA	2	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	ALL	267	72.4	296	74.7	-2.4	5	3	5	30	0	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	AS	223	82	244	85.3	-3.3	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	EL	83	24.8	85	39.7	-14.9	4	2	4	70	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	ELO	23	-88.7	24	-48.8	-39.9	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	EO	96	72.4	100	68.7	3.8	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	FI	3	NA	2	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	HI	11	-44.6	11	-26.4	-18.3	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	MR	11	44.5	7	NA	NA	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	RFP	60	68.3	61	74.5	-6.2	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	SED	12	-61.5	8	NA	NA	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	SWD	24	-72.5	16	-51.8	-20.8	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
06	S	school_21	district_2	county_2	NA	NA	WH	16	56.9	30	37.3	19.6	5	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	AA	6	NA	8	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	ALL	275	0.9	304	7.9	-7	3	2	3	120	0	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	AS	108	21.7	97	42	-20.3	4	1	4	60	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	EL	167	-20	181	-8.4	-11.6	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	ELO	55	-109.7	98	-38.1	-71.6	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	EO	54	4.7	72	12.8	-8.1	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	FI	4	NA	7	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	FOS	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	HI	58	-83.3	74	-64.7	-18.5	1	1	1	210	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	MR	9	NA	11	30.3	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	PI	2	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	RFP	112	24	83	26.7	-2.7	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	SED	75	-76.6	82	-48	-28.6	1	1	1	210	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	SWD	29	-73.8	22	-89.1	15.3	1	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
31	S	school_01	district_2	county_2	NA	NA	WH	87	40	106	26.9	13.1	4	4	4	90	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	ALL	324	85.8	334	90.9	-5.1	5	2	4	20	0	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	AS	276	89.6	297	94.2	-4.6	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	EL	70	33.3	67	52.4	-19.2	4	1	4	60	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	ELO	21	-54.1	22	15.1	-69.3	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	EO	133	87.4	134	96.9	-9.5	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	FI	1	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	HI	6	NA	4	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	MR	9	NA	6	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	PI	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	RFP	49	70.7	45	70.7	0	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	SED	11	-6.7	2	NA	NA	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	SWD	20	-35.3	11	22.4	-57.6	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
32	S	school_19	district_2	county_2	NA	NA	WH	31	75.2	23	76.3	-1.1	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	AA	15	8.8	13	21.7	-12.9	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	AI	3	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	ALL	1401	78.5	1400	76.2	2.3	5	3	5	30	13	5	38.5	6	46.2	2	15.4	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	AS	744	98.8	753	95.6	3.2	5	4	5	40	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	EL	194	7.9	204	4.3	3.7	3	4	4	140	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	ELO	82	-45.7	93	-48.5	2.8	2	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	EO	657	82.3	647	81.3	1	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	FI	25	47.3	24	56.3	-9.1	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	HI	106	-3.4	107	-11.2	7.8	3	4	4	140	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	HOM	3	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	MR	48	70.5	21	76.5	-5.9	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	PI	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	RFP	112	47.2	111	48.5	-1.3	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	SED	100	-22.7	93	-15.2	-7.4	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	SWD	144	-33.4	131	-24.9	-8.5	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
35	S	school_30	district_2	county_2	NA	NA	WH	458	69.4	476	68.6	0.8	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	AA	1	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	AI	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	ALL	308	56.6	291	66.8	-10.3	5	2	4	20	0	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	AS	219	62.7	207	70.2	-7.5	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	EL	103	18.3	85	28.3	-10	4	2	4	70	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	ELO	33	-55.5	30	-38.9	-16.5	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	EO	113	64.5	112	70.5	-6.1	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	FI	4	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	HI	23	-6.2	18	11.1	-17.3	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	MR	8	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	RFP	70	53	55	65	-12	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
21	S	school_09	district_2	county_2	NA	NA	SED	13	-37.9	12	31.9	-69.8	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
