cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	caa_denom	caa_level1_num	caa_level1_pct	caa_level2_num	caa_level2_pct	caa_level3_num	caa_level3_pct	ReportingYear	X26
14	D	NA	district_1	county_1	NA	NA	AA	76	-46.2	96	-27	-19.2	2	1	2	160	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	AI	11	22.7	15	32.7	-9.9	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	ALL	5480	77.7	5638	79.7	-2	5	3	5	30	28	22	78.6	5	17.9	1	3.6	2017f	NA
14	D	NA	district_1	county_1	NA	NA	AS	1930	120.9	1970	118.8	2	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	EL	1080	37.2	1103	47.3	-10.1	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	ELO	283	-17.3	399	23	-40.3	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	EO	3495	78.1	3709	80.9	-2.7	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	FI	37	46.8	42	52.8	-5.9	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	FOS	6	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	HI	688	-11	667	-3.6	-7.4	3	2	3	120	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	HOM	15	-80.7	9	NA	NA	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	MR	541	86.3	477	90.9	-4.7	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	PI	48	-52.2	49	-34	-18.1	2	1	2	160	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	RFP	797	56.6	704	61.1	-4.5	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	SED	535	-41.1	516	-31.3	-9.8	2	2	2	170	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	SWD	540	-22.9	566	-18.1	-4.8	3	2	3	120	NA	NA	NA	NA	NA	NA	NA	2017f	NA
14	D	NA	district_1	county_1	NA	NA	WH	2149	73.2	2322	75.7	-2.5	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	AA	2	NA	8	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	ALL	217	57.3	252	56.6	0.7	5	3	5	30	0	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	AS	45	73.8	47	71.3	2.4	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	EL	44	26.1	49	17.1	8.9	4	4	4	90	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	ELO	18	-8	23	-22.5	14.5	3	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	EO	158	60.6	189	64.3	-3.7	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	FI	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	HI	23	-22	38	-15.6	-6.3	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	MR	31	62.5	32	79.8	-17.3	5	1	4	10	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	RFP	26	49.7	26	52.2	-2.6	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	SED	16	-49	31	-38.3	-10.7	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	SWD	26	9.3	24	-30.9	40.2	4	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
15	S	school_13	district_1	county_1	NA	NA	WH	115	67.2	125	72.8	-5.6	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	AA	1	NA	2	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	ALL	203	109.2	209	106.6	2.6	5	3	5	30	0	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	AS	150	118.2	147	122	-3.8	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	EL	58	90.5	60	95.5	-5	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	ELO	5	NA	10	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	EO	111	111.8	109	102.7	9.1	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	FI	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	HI	15	9.1	15	-3.9	13.1	4	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	MR	20	128.5	22	122.3	6.2	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	PI	4	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	RFP	53	99.3	50	104.3	-5	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	SED	15	-1.5	12	-7.4	5.9	3	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	SWD	11	27	12	32	-5	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
09	S	school_09	district_1	county_1	NA	NA	WH	12	97.3	19	78.3	18.9	5	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	AA	1	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	ALL	191	69.8	201	76.8	-7	5	2	4	20	0	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	AS	68	98.6	77	105.3	-6.7	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	EL	40	37.6	40	53.1	-15.6	5	1	4	10	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	ELO	17	-7.6	17	28.6	-36.2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	EO	116	70	120	73.7	-3.6	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	FI	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	HI	23	7.6	24	18.5	-10.9	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	MR	38	83.4	30	75.1	8.4	5	4	5	40	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	RFP	23	70.9	23	71.2	-0.3	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	SED	28	0.1	19	-6.2	6.3	4	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	SWD	23	9	23	15.7	-6.7	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
02	S	school_06	district_1	county_1	NA	NA	WH	60	55.3	66	72	-16.7	5	1	4	10	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	AA	2	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	ALL	276	62.5	295	62.3	0.2	5	3	5	30	4	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	AS	80	87.7	86	84.6	3.1	5	4	5	40	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	EL	56	54	52	50.7	3.4	5	4	5	40	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	ELO	14	30	17	-4.1	34.1	4	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	EO	190	63.1	210	64	-1	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	HI	22	11.9	24	8.5	3.4	4	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	MR	43	77.5	39	87.2	-9.6	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	RFP	42	62	35	77.3	-15.2	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	SED	6	NA	12	-9.8	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	SWD	26	35.8	30	29.4	6.3	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
05	S	school_04	district_1	county_1	NA	NA	WH	129	51.7	141	50.3	1.3	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	AA	11	-29.7	14	7.4	-37.2	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	AI	4	NA	4	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	ALL	247	26.1	263	50.1	-24	4	1	4	60	0	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	AS	36	69.3	46	84.6	-15.3	5	1	4	10	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	EL	55	-19.5	52	11.1	-30.6	3	1	3	110	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	ELO	31	-63.2	37	-6.3	-56.9	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	EO	170	34.3	191	56.8	-22.5	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	FI	1	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	HI	62	-24.7	64	17.5	-42.1	3	1	3	110	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	HOM	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	MR	30	39.9	26	58	-18.1	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	RFP	24	36.9	15	54.1	-17.3	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	SED	47	-66.4	39	-29.1	-37.3	2	1	2	160	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	SWD	17	-61	18	-47.9	-13.1	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
03	S	school_11	district_1	county_1	NA	NA	WH	103	45.3	106	60	-14.7	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	AA	4	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	ALL	266	63.8	260	75.2	-11.3	5	2	4	20	0	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	AS	99	99	101	109.5	-10.6	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	EL	77	48.9	68	60.8	-11.9	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	ELO	27	-7.4	22	7	-14.4	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	EO	145	55.2	147	68.9	-13.7	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	FOS	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	HI	28	0.1	30	18	-17.9	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	HOM	2	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	MR	22	71.8	13	67.1	4.7	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	PI	4	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	RFP	50	79.3	46	86.4	-7.2	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	SED	19	-16.5	18	12.4	-28.9	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	SWD	23	35.4	21	40.6	-5.1	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
12	S	school_01	district_1	county_1	NA	NA	WH	109	56.8	112	63.9	-7	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	AA	3	NA	5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	ALL	245	70.9	282	71.9	-1	5	3	5	30	0	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	AS	77	97.6	90	96.7	0.9	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	EL	49	50.7	55	51.7	-1	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	ELO	11	-40.8	30	21.3	-62.2	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	EO	169	68.7	206	73.1	-4.5	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	FI	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	HI	24	1.8	24	-23.6	25.5	4	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	MR	40	87.4	32	108.8	-21.4	5	1	4	10	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	PI	2	NA	2	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	RFP	38	77.2	25	88.1	-10.9	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	SED	15	-48.1	20	-72.1	24	2	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	SWD	19	-19.3	24	-22.2	2.9	3	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
07	S	school_02	district_1	county_1	NA	NA	WH	98	66.5	128	71.4	-4.9	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	ALL	164	86.1	182	88.8	-2.7	5	3	5	30	1	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	AS	63	110.5	67	113.2	-2.7	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	EL	43	43.5	51	66.2	-22.7	5	1	4	10	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	ELO	19	5.8	32	50.7	-44.9	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	EO	94	96.8	101	92.4	4.4	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	FI	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	HI	22	7.9	22	10.8	-3	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	MR	19	90.2	21	98.6	-8.4	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	RFP	24	73.3	19	92.4	-19.1	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	SED	28	12.4	23	14.8	-2.4	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	SWD	17	41.6	18	19.3	22.4	5	5	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
13	S	school_03	district_1	county_1	NA	NA	WH	59	88.5	69	91.7	-3.2	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	AA	1	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	ALL	205	70.1	207	81.4	-11.3	5	2	4	20	0	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	AS	89	92	89	104.2	-12.2	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	EL	41	61.2	34	66.9	-5.7	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	ELO	14	32.3	13	28.5	3.7	4	4	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	EO	133	65.7	142	78	-12.4	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	HI	10	NA	16	12.3	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	MR	29	51.5	20	83.3	-31.8	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	PI	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	RFP	27	76.3	21	90.7	-14.5	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	SED	9	NA	7	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	SWD	17	4.6	16	18.9	-14.3	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
10	S	school_14	district_1	county_1	NA	NA	WH	75	67.8	78	76.1	-8.3	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	AA	3	NA	2	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	AI	1	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	ALL	233	62.6	260	75.7	-13.1	5	2	4	20	2	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	AS	64	99	88	108.2	-9.2	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	EL	45	32.8	45	58	-25.2	4	1	4	60	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	ELO	24	-3.1	19	2.5	-5.7	3	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	EO	165	64.2	187	76.4	-12.1	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	FI	2	NA	3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	HI	29	31.8	24	30	1.8	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	HOM	2	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	MR	28	70.3	29	77.3	-7	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	PI	7	NA	9	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	RFP	21	73.9	26	98.5	-24.6	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	SED	27	-57.2	27	-30.3	-26.9	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	SWD	26	-64.6	21	-27.7	-36.9	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
11	S	school_05	district_1	county_1	NA	NA	WH	99	62.8	104	71.7	-8.9	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
16	S	school_10	district_1	county_1	NA	NA	AA	16	-60.4	16	-37.8	-22.6	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
16	S	school_10	district_1	county_1	NA	NA	AI	5	NA	4	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
16	S	school_10	district_1	county_1	NA	NA	ALL	1089	82.9	1074	86.8	-4	5	2	4	20	7	NA	NA	NA	NA	NA	NA	2017f	NA
16	S	school_10	district_1	county_1	NA	NA	AS	331	139.4	303	138.8	0.6	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
