cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	caa_denom	caa_level1_num	caa_level1_pct	caa_level2_num	caa_level2_pct	caa_level3_num	caa_level3_pct	ReportingYear	X26
048	D	NA	district_1	county_1	NA	NA	AA	76	-46.2	96	-27	-19.2	2	1	2	160	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	AI	11	22.7	15	32.7	-9.9	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	ALL	5480	77.7	5638	79.7	-2	5	3	5	30	28	22	78.6	5	17.9	1	3.6	2017f	NA
048	D	NA	district_1	county_1	NA	NA	AS	1930	120.9	1970	118.8	2	5	3	5	30	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	EL	1080	37.2	1103	47.3	-10.1	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	ELO	283	-17.3	399	23	-40.3	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	EO	3495	78.1	3709	80.9	-2.7	5	3	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	FI	37	46.8	42	52.8	-5.9	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	FOS	6	NA	1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	HI	688	-11	667	-3.6	-7.4	3	2	3	120	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	HOM	15	-80.7	9	NA	NA	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	MR	541	86.3	477	90.9	-4.7	5	2	4	20	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	PI	48	-52.2	49	-34	-18.1	2	1	2	160	NA	NA	NA	NA	NA	NA	NA	2017f	NA
048	D	NA	district_1	county_1	NA	NA	RFP	797	56.6	704	61.1	-4.5	5	2	0	0	NA	NA	NA	NA	NA	NA	NA	2017f	NA
