districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_5	NA	AA	-48	-83.1
district_5	NA	AI	-22	-62.5
district_5	NA	ALL	-15.5	-45.3
district_5	NA	AS	15.3	1
district_5	NA	EL	-39.3	-63.9
district_5	NA	ELO	-69.6	-89.7
district_5	NA	EO	-12.1	-43.2
district_5	NA	FI	19.3	-10
district_5	NA	FOS	-71.3	-95.7
district_5	NA	HI	-29.1	-59.6
district_5	NA	HOM	-73.4	-104.7
district_5	NA	MR	-4.6	-44.3
district_5	NA	PI	-26.1	-53
district_5	NA	RFP	48	9.8
district_5	NA	SED	-37.4	-67.3
district_5	NA	SWD	-94.6	-128
district_5	NA	WH	11.7	-19.2
district_5	school_5	AA	-62.1	-85.8
district_5	school_5	AI	NA	NA
district_5	school_5	ALL	-32.2	-63.4
district_5	school_5	AS	-27.2	-51.8
district_5	school_5	EL	-46	-70
district_5	school_5	ELO	-67.9	-89
district_5	school_5	EO	-30.1	-62.8
district_5	school_5	FI	NA	NA
district_5	school_5	FOS	NA	NA
district_5	school_5	HI	-32.7	-65
district_5	school_5	HOM	NA	NA
district_5	school_5	MR	-46.5	-92.5
district_5	school_5	PI	NA	NA
district_5	school_5	RFP	15.4	-18
district_5	school_5	SED	-40.6	-69.9
district_5	school_5	SWD	-93.1	-136.3
district_5	school_5	WH	-8.1	-46
district_5	school_7	AA	-66.5	-91.8
district_5	school_7	AI	NA	NA
district_5	school_7	ALL	-47	-63.7
district_5	school_7	AS	-39.9	-48.1
district_5	school_7	EL	-52.5	-67.4
district_5	school_7	ELO	-82.1	-90.3
district_5	school_7	EO	-47.2	-64.2
district_5	school_7	FI	NA	NA
district_5	school_7	HI	-46.9	-63.4
district_5	school_7	HOM	NA	NA
district_5	school_7	MR	-48.1	-73.5
district_5	school_7	PI	NA	NA
district_5	school_7	RFP	63.8	22.6
district_5	school_7	SED	-59.2	-75
district_5	school_7	SWD	-116.4	-137.7
district_5	school_7	WH	-40.3	-54.6
district_5	school_9	AA	-27.7	-60.8
district_5	school_9	AI	NA	NA
district_5	school_9	ALL	-23.1	-43.8
district_5	school_9	AS	-10.6	-31.2
district_5	school_9	EL	-34	-54.5
district_5	school_9	ELO	-64.6	-75.5
district_5	school_9	EO	-21.6	-41.8
district_5	school_9	FI	NA	NA
district_5	school_9	FOS	NA	NA
district_5	school_9	HI	-30.4	-47.5
district_5	school_9	HOM	NA	NA
district_5	school_9	MR	12.9	-16.1
district_5	school_9	PI	NA	NA
district_5	school_9	RFP	90.4	30.7
district_5	school_9	SED	-31.2	-50.4
district_5	school_9	SWD	-131.4	-136
district_5	school_9	WH	-12.5	-35.9
district_5	school_6	AA	-32	-99.8
district_5	school_6	AI	NA	NA
district_5	school_6	ALL	15.8	-35.5
district_5	school_6	AS	52.1	30.4
district_5	school_6	EL	-25.7	-73.8
district_5	school_6	ELO	-66	-113.3
district_5	school_6	EO	20.3	-32.1
district_5	school_6	FI	56.8	-17.8
district_5	school_6	FOS	NA	NA
district_5	school_6	HI	1.7	-54.3
district_5	school_6	HOM	NA	NA
district_5	school_6	MR	40.3	-32.9
district_5	school_6	PI	NA	NA
district_5	school_6	RFP	52.5	2.9
district_5	school_6	SED	-12.1	-68.7
district_5	school_6	SWD	-63.1	-130.7
district_5	school_6	WH	34.5	-10.1
district_5	school_1	AA	-56.6	-116.4
district_5	school_1	AI	NA	NA
