districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_8	NA	AA	-89.1	-107
district_8	NA	AI	-11.3	-36
district_8	NA	ALL	0.1	-7.5
district_8	NA	AS	34.3	42.2
district_8	NA	EL	-31.9	-31.7
district_8	NA	ELO	-74.3	-64.1
district_8	NA	EO	12.9	-3.5
district_8	NA	FI	6.8	-15.4
district_8	NA	FOS	-93	-107.8
district_8	NA	HI	-59.4	-76
district_8	NA	HOM	-75.5	-95.2
district_8	NA	MR	31.3	11.6
district_8	NA	PI	-65.9	-85.2
district_8	NA	RFP	25.7	12.7
district_8	NA	SED	-32.4	-37.4
district_8	NA	SWD	-91.2	-101.8
district_8	NA	WH	56.7	39.6
district_8	school_55	AA	NA	NA
district_8	school_55	ALL	15.6	15.3
district_8	school_55	AS	10.8	25
district_8	school_55	EL	-7.8	6.4
district_8	school_55	ELO	-28.3	-5.8
district_8	school_55	EO	25.3	18.8
district_8	school_55	FI	NA	NA
district_8	school_55	FOS	NA	NA
district_8	school_55	HI	2.8	-10.7
district_8	school_55	HOM	NA	NA
district_8	school_55	MR	8	-4.2
district_8	school_55	RFP	48.4	39.2
district_8	school_55	SED	-10.5	-6
district_8	school_55	SWD	-31.9	-30.8
district_8	school_55	WH	38.2	26
district_8	school_54	AA	NA	NA
district_8	school_54	ALL	79.1	71.8
district_8	school_54	AS	75.1	74.5
district_8	school_54	EL	60	62.9
district_8	school_54	ELO	17.6	42
district_8	school_54	EO	78.5	63.8
district_8	school_54	HI	NA	NA
district_8	school_54	MR	88.9	87
district_8	school_54	RFP	100	82.7
district_8	school_54	SED	30.7	41.5
district_8	school_54	SWD	NA	NA
district_8	school_54	WH	84.3	63.5
district_8	school_58	AA	NA	NA
district_8	school_58	AI	NA	NA
district_8	school_58	ALL	16.7	-6.7
district_8	school_58	AS	NA	NA
district_8	school_58	EL	-28.7	-17.6
district_8	school_58	ELO	-39.5	-24.2
district_8	school_58	EO	25.4	-7
district_8	school_58	FI	NA	NA
district_8	school_58	FOS	NA	NA
district_8	school_58	HI	24.8	-4.3
district_8	school_58	HOM	NA	NA
district_8	school_58	MR	NA	NA
district_8	school_58	RFP	NA	NA
district_8	school_58	SED	-22.5	-32.4
district_8	school_58	SWD	-35.5	-45.4
district_8	school_58	WH	16.1	-5.1
district_8	school_56	AA	-134.7	-188.1
district_8	school_56	AI	NA	NA
district_8	school_56	ALL	-92.8	-133.2
district_8	school_56	AS	-14.7	-37.8
district_8	school_56	EL	-75.1	-113.8
district_8	school_56	ELO	-117.5	-153.9
district_8	school_56	EO	-105.6	-148.6
district_8	school_56	FI	-17.5	-51.5
district_8	school_56	FOS	NA	NA
district_8	school_56	HI	-81.5	-119.5
district_8	school_56	HOM	-148.9	-181.1
district_8	school_56	MR	-80.6	-92
district_8	school_56	PI	NA	NA
district_8	school_56	RFP	-26.3	-67.4
district_8	school_56	SED	-108	-149.6
district_8	school_56	SWD	-155.2	-207.1
district_8	school_56	WH	NA	NA
district_8	school_12	AA	NA	NA
district_8	school_12	ALL	37.7	38
district_8	school_12	AS	39.2	50
district_8	school_12	EL	15.1	33.7
district_8	school_12	ELO	-41.4	1.8
district_8	school_12	EO	46.5	34.4
district_8	school_12	FI	NA	NA
district_8	school_12	HI	-0.8	5.1
district_8	school_12	MR	54.6	34.8
district_8	school_12	PI	NA	NA
district_8	school_12	RFP	64.2	61.3
district_8	school_12	SED	6.4	16.9
district_8	school_12	SWD	-10.3	-12.8
district_8	school_12	WH	46.9	31
district_8	school_40	AA	NA	NA
district_8	school_40	AI	NA	NA
district_8	school_40	ALL	23.4	17.3
district_8	school_40	AS	NA	NA
district_8	school_40	EL	-57.5	-45
district_8	school_40	ELO	-73.6	-53.6
district_8	school_40	EO	65.5	51
district_8	school_40	FI	NA	NA
district_8	school_40	FOS	NA	NA
district_8	school_40	HI	-25.6	-22.8
district_8	school_40	HOM	NA	NA
district_8	school_40	MR	83.5	48
district_8	school_40	PI	NA	NA
district_8	school_40	RFP	8	-10
district_8	school_40	SED	-51.4	-43.5
district_8	school_40	SWD	-82	-62.3
district_8	school_40	WH	73.5	63
district_8	school_11	AA	NA	NA
district_8	school_11	ALL	27.1	35.3
district_8	school_11	AS	12.7	30.3
district_8	school_11	EL	1	19.5
district_8	school_11	ELO	-58.3	-13.6
district_8	school_11	EO	35	38
district_8	school_11	FI	NA	NA
district_8	school_11	HI	15.6	8.7
district_8	school_11	HOM	NA	NA
district_8	school_11	MR	51.9	66.4
district_8	school_11	RFP	79.9	63.6
district_8	school_11	SED	-24.9	5.1
district_8	school_11	SWD	-52.4	-10.4
district_8	school_11	WH	38.3	42
district_8	school_38	AA	-123.2	-122.9
district_8	school_38	AI	NA	NA
district_8	school_38	ALL	-41.2	-56.5
district_8	school_38	AS	14.1	1.9
district_8	school_38	EL	-40.3	-57.5
district_8	school_38	ELO	-63.9	-74.2
district_8	school_38	EO	-61.2	-70.6
district_8	school_38	FI	-2.9	-23.3
district_8	school_38	FOS	NA	NA
district_8	school_38	HI	-69.1	-94.2
district_8	school_38	HOM	-63	-80.4
district_8	school_38	MR	-33.4	-56.7
district_8	school_38	PI	NA	NA
district_8	school_38	RFP	25.9	-10.4
district_8	school_38	SED	-49.7	-63.8
district_8	school_38	SWD	-141.8	-153.3
district_8	school_38	WH	-53.4	-27.4
district_8	school_09	AA	-95.1	-98
district_8	school_09	ALL	-94.5	-70
district_8	school_09	AS	NA	NA
district_8	school_09	EL	-106.6	-67.7
district_8	school_09	ELO	-110	-68.8
district_8	school_09	EO	-83	-75.3
district_8	school_09	FI	NA	NA
district_8	school_09	HI	-102.3	-64.5
district_8	school_09	HOM	NA	NA
district_8	school_09	MR	NA	NA
district_8	school_09	PI	NA	NA
district_8	school_09	RFP	NA	NA
district_8	school_09	SED	-92.9	-74
district_8	school_09	SWD	-33.7	-60.2
district_8	school_09	WH	NA	NA
district_8	school_57	AA	NA	NA
district_8	school_57	AI	NA	NA
district_8	school_57	ALL	-44	-43.9
district_8	school_57	EL	-49.3	-42.8
district_8	school_57	ELO	-69.5	-52.5
district_8	school_57	EO	-20.5	-52.9
district_8	school_57	HI	-44.4	-45.3
district_8	school_57	HOM	-77.1	-68.6
district_8	school_57	MR	NA	NA
district_8	school_57	RFP	52.1	5.7
district_8	school_57	SED	-44.5	-43.3
district_8	school_57	SWD	-41.3	-27.6
district_8	school_57	WH	NA	NA
district_8	school_64	AA	-28.5	-26.5
district_8	school_64	AI	NA	NA
district_8	school_64	ALL	65.7	40.3
district_8	school_64	AS	83.9	63.2
district_8	school_64	EL	31.2	19.3
district_8	school_64	ELO	4.7	-10.8
district_8	school_64	EO	73.1	44.4
district_8	school_64	FI	NA	NA
district_8	school_64	HI	42.8	7
district_8	school_64	MR	78	53.6
district_8	school_64	PI	NA	NA
district_8	school_64	RFP	48.5	38.9
